run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,lambda_c_z1,lambda_c_z2,lambda_c_z3,c_NL0 0 CCGT,c_NL0 1 CCGT,c_NL0 10 CCGT,c_NL0 11 CCGT,c_NL0 12 CCGT,c_NL0 13 CCGT,c_NL0 14 CCGT,c_NL0 15 CCGT,c_NL0 16 CCGT,c_NL0 17 CCGT,c_NL0 18 CCGT,c_NL0 19 CCGT,c_NL0 2 CCGT,c_NL0 20 CCGT,c_NL0 21 CCGT,c_NL0 22 CCGT,c_NL0 23 CCGT,c_NL0 24 CCGT,c_NL0 25 CCGT,c_NL0 26 CCGT,c_NL0 27 CCGT,c_NL0 28 CCGT,c_NL0 3 CCGT,c_NL0 30 CCGT,c_NL0 31 CCGT,c_NL0 33 CCGT,c_NL0 4 CCGT,c_NL0 5 CCGT,c_NL0 6 CCGT,c_NL0 7 CCGT,c_NL0 8 CCGT,c_NL0 9 CCGT
11,unit_pos,OPTIMAL,1.878000020980835,0.0,17700.96077521313,3.141434628388981e9,40.18282306038072,0.0,OPTIMAL,2.0471862818932604e7,1.0589064973250985e9,162202.74721126267,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,603.3716995912523,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,183.4027634143872,468.35967497549836,823.0935826642199,1000.0,0.0,0.0,1000.0,622.7330545677764
12,unit_pos,OPTIMAL,1.996000051498413,0.0,17700.960775213134,3.141434628388981e9,40.18282306038072,0.0,OPTIMAL,2.035289093477066e7,7.033077851822801e8,0.0,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,284.332479005443,1000.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,416.62829620769116,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
13,unit_pos,OPTIMAL,2.8429999351501465,0.0,17700.960775213134,3.14143462838898e9,40.18282306038072,0.0,OPTIMAL,2.0705207145521063e7,9.193363842294291e8,104484.51236979324,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,284.332479005443,1000.0,1000.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,416.62829620769116,1000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
14,unit_pos,OPTIMAL,2.2780001163482666,0.0,17700.960775213134,3.1414346283889804e9,40.18282306038072,0.0,OPTIMAL,2.085196238934096e7,1.0333872831035627e9,150737.9452733745,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,823.2267618817955,1000.0,188.54778640154564,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,331.5632193484844,734.8899530135322,1000.0,1000.0,0.0,0.0,1000.0,622.7330545677764
15,unit_pos,OPTIMAL,2.4100000858306885,0.0,17700.960775213134,3.1414346283889804e9,40.18282306038072,0.0,OPTIMAL,2.085196238934096e7,1.0333872831035627e9,150737.9452733745,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,823.2267618817955,1000.0,188.54778640154564,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,331.5632193484844,734.8899530135322,1000.0,1000.0,0.0,0.0,1000.0,622.7330545677764
16,unit_pos,OPTIMAL,2.9820001125335693,0.0,17700.960775213134,3.1414346283889823e9,40.18282306038072,0.0,OPTIMAL,1.9756496740562946e7,7.885106970911261e8,46744.88676747393,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,806.1358179821636,0.0,0.0,894.8249572309705,1000.0
17,unit_pos,OPTIMAL,1.8329999446868896,0.0,17700.960775213134,3.141434628388983e9,40.18282306038072,0.0,OPTIMAL,2.055000281726563e7,1.2302102216452277e9,251082.88216056145,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,852.9534718187406,1000.0,62.78873151725929,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,289.4479534425118,990.7107259923741,1000.0,0.0,0.0,1000.0,505.0598924422484
18,unit_pos,OPTIMAL,3.1629998683929443,0.0,17700.960775213134,3.1414346283889804e9,40.18282306038072,0.0,OPTIMAL,1.9935636082995232e7,1.1526771160026586e9,216598.1276435429,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,682.2020776773124,1000.0,89.04861994348903,0.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,0.0,568.3526274344772,0.0,0.0,0.0,0.0,184.79144793658452,589.3821100873502,964.4508375661444,1000.0,0.0,0.0,1000.0,622.7330545677764
19,unit_pos,OPTIMAL,2.1690001487731934,0.0,17700.960775213134,3.1414346283889823e9,40.18282306038072,0.0,OPTIMAL,2.010908174205771e7,1.021436563589151e9,164412.40028705858,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,661.5594084615987,1000.0,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,140.65145668389505,0.0,0.0,1000.0,898.7499100676405,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
20,unit_pos,OPTIMAL,2.434000015258789,0.0,17700.960775213134,3.1414346283889823e9,40.18282306038072,0.0,OPTIMAL,2.014257575546648e7,9.828226860472257e8,143534.1647640501,47082.32971252022,47082.32971252022,47082.32971252022,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,894.8249572309705,1000.0,1000.0,0.0,0.0,31.738216138163807,1000.0,1000.0,1000.0,0.0,0.0,633.7461451601048,1000.0,140.65145668389505,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0
