run_id,generator,type,bus,gen_zone,target_zone,cm_offer,lambda_c_z,mu_cm_bud,mu_mec_z
3,NL0 11 CCGT,investable,NL0 11,3,3,1000.0,47082.32971252022,47082.32971252022,0.0
3,NL0 12 CCGT,investable,NL0 12,2,2,122.92720300150438,47082.32971252022,47082.32971252022,0.0
3,NL0 12 CCGT,investable,NL0 12,2,3,518.3335718670634,47082.32971252022,47082.32971252022,0.0
3,NL0 13 CCGT,investable,NL0 13,3,3,0.0,47082.32971252022,47082.32971252022,0.0
3,NL0 14 CCGT,investable,NL0 14,2,2,0.0,47082.32971252022,47082.32971252022,0.0
3,NL0 15 CCGT,investable,NL0 15,2,2,0.0,47082.32971252022,47082.32971252022,0.0
3,NL0 16 CCGT,investable,NL0 16,1,1,1000.0,47082.32971252022,47082.32971252022,0.0
3,NL0 17 CCGT,investable,NL0 17,1,1,1000.0,47082.32971252022,47082.32971252022,0.0
3,NL0 18 CCGT,investable,NL0 18,1,1,1000.0,47082.32971252022,47082.32971252022,0.0
3,NL0 19 CCGT,investable,NL0 19,2,2,580.5911045817361,47082.32971252022,47082.32971252022,0.0
3,NL0 2 CCGT,investable,NL0 2,2,2,0.0,47082.32971252022,47082.32971252022,0.0
3,NL0 20 CCGT,investable,NL0 20,1,1,1000.0,47082.32971252022,47082.32971252022,0.0
3,NL0 21 CCGT,investable,NL0 21,1,1,0.0,47082.32971252022,47082.32971252022,0.0
3,NL0 22 CCGT,investable,NL0 22,3,3,1000.0,47082.32971252022,47082.32971252022,0.0
