run_id,zone_a,zone_b,bound,f_ab,phi_lo,phi_hi,at_bound
60,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
60,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
60,2,3,0.0,0.0,5393.551759356946,0.0,upper
61,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
61,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
61,2,3,0.0,0.0,5393.551759356946,0.0,upper
62,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
62,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
62,2,3,0.0,0.0,5393.551759356946,0.0,upper
63,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
63,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
63,2,3,0.0,0.0,5393.551759356946,0.0,upper
64,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
64,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
64,2,3,0.0,0.0,5393.551759356946,0.0,upper
65,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
65,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
65,2,3,0.0,0.0,5393.551759356946,0.0,upper
66,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
66,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
66,2,3,0.0,0.0,5393.551759356946,0.0,upper
67,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
67,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
67,2,3,0.0,0.0,5393.551759356946,0.0,upper
68,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
68,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
68,2,3,0.0,0.0,5393.551759356946,0.0,upper
69,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
69,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
69,2,3,0.0,0.0,5393.551759356946,0.0,upper
70,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
70,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
70,2,3,0.0,0.0,5393.551759356946,0.0,upper
71,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
71,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
71,2,3,0.0,0.0,5393.551759356946,0.0,upper
72,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
72,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
72,2,3,0.0,0.0,5393.551759356946,0.0,upper
73,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
73,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
73,2,3,0.0,0.0,5393.551759356946,0.0,upper
74,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
74,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
74,2,3,0.0,0.0,5393.551759356946,0.0,upper
75,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
75,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
75,2,3,0.0,0.0,5393.551759356946,0.0,upper
76,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
76,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
76,2,3,0.0,0.0,5393.551759356946,0.0,upper
77,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
77,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
77,2,3,0.0,0.0,5393.551759356946,0.0,upper
78,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
78,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
78,2,3,0.0,0.0,5393.551759356946,0.0,upper
79,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
79,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
79,2,3,0.0,0.0,5393.551759356946,0.0,upper
80,1,2,0.0,0.0,-1.3129465514793992e-7,10787.103518603559,upper
80,1,3,0.0,0.0,-1.3144745025783777e-7,5393.55175924646,upper
80,2,3,0.0,0.0,5393.551759356946,0.0,upper
