run_id,generator,type,bus,zone,cm_offer,lambda_c_z,mu_cm_bud
1,NL0 1 0 onwind,legacy,NL0 1,3,0.0,53935.51759344085,53935.517593440774
1,NL0 10 0 onwind,legacy,NL0 10,1,0.0,59329.069352818755,59329.06935281868
1,NL0 11 0 onwind,legacy,NL0 11,3,0.0,53935.51759344085,53935.517593440774
1,NL0 12 0 onwind,legacy,NL0 12,2,0.0,48541.9658340839,48541.965834083836
1,NL0 13 0 onwind,legacy,NL0 13,3,0.0,53935.51759344085,53935.517593440774
1,NL0 14 0 onwind,legacy,NL0 14,2,0.0,48541.9658340839,48541.965834083836
1,NL0 15 0 onwind,legacy,NL0 15,2,0.0,48541.9658340839,48541.965834083836
1,NL0 17 0 onwind,legacy,NL0 17,1,0.0,59329.069352818755,59329.06935281868
1,NL0 19 0 onwind,legacy,NL0 19,2,0.0,48541.9658340839,48541.965834083836
1,NL0 2 0 onwind,legacy,NL0 2,2,0.0,48541.9658340839,48541.965834083836
1,NL0 20 0 onwind,legacy,NL0 20,1,0.0,59329.069352818755,59329.06935281868
1,NL0 21 0 onwind,legacy,NL0 21,1,0.0,59329.069352818755,59329.06935281868
1,NL0 22 0 onwind,legacy,NL0 22,3,0.0,53935.51759344085,53935.517593440774
1,NL0 23 0 onwind,legacy,NL0 23,1,0.0,59329.069352818755,59329.06935281868
1,NL0 24 0 onwind,legacy,NL0 24,1,0.0,59329.069352818755,59329.06935281868
1,NL0 27 0 onwind,legacy,NL0 27,1,0.0,59329.069352818755,59329.06935281868
1,NL0 3 0 onwind,legacy,NL0 3,1,0.0,59329.069352818755,59329.06935281868
1,NL0 30 0 onwind,legacy,NL0 30,1,0.0,59329.069352818755,59329.06935281868
1,NL0 31 0 onwind,legacy,NL0 31,2,0.0,48541.9658340839,48541.965834083836
1,NL0 4 0 onwind,legacy,NL0 4,2,0.0,48541.9658340839,48541.965834083836
1,NL0 5 0 onwind,legacy,NL0 5,3,0.0,53935.51759344085,53935.517593440774
1,NL0 6 0 onwind,legacy,NL0 6,3,0.0,53935.51759344085,53935.517593440774
1,NL0 7 0 onwind,legacy,NL0 7,3,0.0,53935.51759344085,53935.517593440774
1,NL0 8 0 onwind,legacy,NL0 8,1,0.0,59329.069352818755,59329.06935281868
1,NL0 9 0 onwind,legacy,NL0 9,3,0.0,53935.51759344085,53935.517593440774
2,NL0 0 Invest,investable,NL0 0,1,0.0,59329.069352818755,59329.06935292875
2,NL0 1 Invest,investable,NL0 1,3,0.0,53935.51759344085,53935.51759357159
2,NL0 10 Invest,investable,NL0 10,1,0.0,59329.069352818755,59329.06935292875
2,NL0 11 Invest,investable,NL0 11,3,0.0,53935.51759344085,53935.51759357159
2,NL0 12 Invest,investable,NL0 12,2,0.0,48541.9658340839,48541.96583421443
2,NL0 13 Invest,investable,NL0 13,3,678.1047541590287,53935.51759344085,53935.51759357159
2,NL0 14 Invest,investable,NL0 14,2,0.0,48541.9658340839,48541.96583421443
2,NL0 15 Invest,investable,NL0 15,2,1000.0,48541.9658340839,48541.96583421443
2,NL0 16 Invest,investable,NL0 16,1,1000.0,59329.069352818755,59329.06935292875
2,NL0 17 Invest,investable,NL0 17,1,0.0,59329.069352818755,59329.06935292875
2,NL0 18 Invest,investable,NL0 18,1,601.5467025248663,59329.069352818755,59329.06935292875
2,NL0 19 Invest,investable,NL0 19,2,421.30931852923914,48541.9658340839,48541.96583421443
2,NL0 2 Invest,investable,NL0 2,2,1000.0,48541.9658340839,48541.96583421443
