run_id,weight_type,rd_cost_econ,curtailment,capacity_market_cost,cm_plus_redispatch_cost,grid_load_shedding_cost,total_cost,scenario,case_study,design,sigma,design_order,design_label
78,ptdf_neg,-4359172.714981146,90999.62875854866,930706141.4849045,926346968.7699233,6278974384.339857,7205321353.10978,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
79,ptdf_pos,52010.31957309693,0.0,930706141.4849045,930758151.8044776,0.0,930758151.8044776,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
80,ptdf_neg,-5.820766091346741e-10,0.0,930706141.4849045,930706141.4849045,0.0,930706141.4849045,nl34_z3_sigma0,Case Study 1,Split,0.0,1,$\sigma=0$
1,ptdf_pos,-3762112.7327367887,79867.43560521743,917883815.4241096,914121702.6913728,5510853056.760002,6424974759.451375,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
2,ptdf_neg,-1.0477378964424131e-09,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
3,ptdf_pos,-2.066371962428093e-09,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
4,ptdf_neg,-3660965.520713202,79742.0048203959,917883815.4241096,914222849.9033964,5502198332.607317,6416421182.510714,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
5,ptdf_pos,119303.81420737738,0.0,917883815.4241096,918003119.238317,0.0,918003119.238317,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
6,ptdf_neg,-4131997.5847928743,85936.99958445957,917883815.4241096,913751817.8393167,5929652971.32771,6843404789.1670265,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
7,ptdf_pos,-3929848.474974096,82589.85652731822,917883815.4241096,913953966.9491355,5698700100.384957,6612654067.334093,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
8,ptdf_neg,25755.926889427472,0.0,917883815.4241096,917909571.350999,0.0,917909571.350999,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
9,ptdf_pos,-1917317.3664100769,40411.903776869694,917883815.4241096,915966498.0576994,2788421360.604009,3704387858.661709,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
10,ptdf_neg,-1550958.7323415726,33113.87242184853,917883815.4241096,916332856.691768,2284857197.1075487,3201190053.799317,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
11,ptdf_pos,-88997.64970767312,1850.966952560106,917883815.4241096,917794817.7744019,127716719.7266473,1045511537.5010492,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
12,ptdf_neg,844748.9137240555,54.09115934510883,917883815.4241096,918728564.3378336,3732289.994812509,922460854.3326461,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
13,ptdf_pos,-3.2596290111541752e-09,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
14,ptdf_neg,-1111675.228475079,30869.582897465705,917883815.4241096,916772140.1956345,2130001219.9251337,3046773360.120768,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
15,ptdf_pos,-1.862645149230957e-09,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
16,ptdf_neg,-4480681.698287055,93706.28613161977,917883815.4241096,913403133.7258226,6465733743.081764,7379136876.807587,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
17,ptdf_pos,-9.313225746154783e-10,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
18,ptdf_neg,-3748963.746512733,77970.68834481653,917883815.4241096,914134851.6775968,5379977495.79234,6294112347.469937,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
19,ptdf_pos,-3748963.746512733,77970.68834481656,917883815.4241096,914134851.6775968,5379977495.792343,6294112347.46994,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
20,ptdf_neg,10797.55967607908,0.0,917883815.4241096,917894612.9837856,0.0,917894612.9837856,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
21,ptdf_pos,18083.1107914648,0.0,917883815.4241096,917901898.534901,0.0,917901898.534901,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
22,ptdf_neg,-3748963.746512733,77970.68834481658,917883815.4241096,914134851.6775968,5379977495.792344,6294112347.469941,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
23,ptdf_pos,-3630480.67652674,79844.72535065736,917883815.4241096,914253334.7475828,5509286049.195358,6423539383.942941,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
24,ptdf_neg,-1.979060471057892e-09,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
25,ptdf_pos,-3879011.64433644,80675.41551664213,917883815.4241096,914004803.7797731,5566603670.648307,6480608474.42808,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
26,ptdf_neg,101163.75156516908,0.0,917883815.4241096,917984979.1756748,0.0,917984979.1756748,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
27,ptdf_pos,47397.03788872884,0.0,917883815.4241096,917931212.4619983,0.0,917931212.4619983,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
28,ptdf_neg,-3640513.374817193,79751.316767673,917883815.4241096,914243302.0492923,5502840856.969437,6417084159.018729,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
29,ptdf_pos,-3.3178366720676422e-09,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
30,ptdf_neg,-3696568.3615295663,79127.77726062741,917883815.4241096,914187247.06258,5459816630.983292,6374003878.045872,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
31,ptdf_pos,-3771455.073359899,78438.46140492211,917883815.4241096,914112360.3507497,5412253836.939626,6326366197.290376,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
32,ptdf_neg,-1.0477378964424131e-09,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
33,ptdf_pos,296193.2213357277,11822.5788900756,917883815.4241096,918180008.6454453,815757943.4152163,1733937952.0606618,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
34,ptdf_neg,-1.3969838619232178e-09,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
35,ptdf_pos,0.0,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
36,ptdf_neg,-104562.12270274758,18601.615348785857,917883815.4241096,917779253.3014069,1283511459.066224,2201290712.367631,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
37,ptdf_pos,-1.3969838619232178e-09,0.0,917883815.4241096,917883815.4241096,0.0,917883815.4241096,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
38,ptdf_neg,-104562.12270274758,18601.615348785857,917883815.4241096,917779253.3014069,1283511459.066224,2201290712.367631,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
39,ptdf_pos,-3764264.614914656,78288.91474610196,917883815.4241096,914119550.8091949,5401935117.481035,6316054668.29023,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
40,ptdf_neg,10797.55967607908,0.0,917883815.4241096,917894612.9837856,0.0,917894612.9837856,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
41,ptdf_pos,10797.55967607908,0.0,917883815.4241096,917894612.9837856,0.0,917894612.9837856,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
42,ptdf_neg,-3748963.746512733,77970.68834481656,917883815.4241096,914134851.6775968,5379977495.792343,6294112347.46994,nl34_z3_sigma25,Case Study 1,Split,0.25,2,$\sigma=0.25$
