scenario,case_study,sigma,zone,bus,change_min_mw,change_max_mw,change_class
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 11,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 13,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 22,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 5,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 6,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 7,0.0,0.0,No material change
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 9,0.0,0.0,No material change
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 0,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 10,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 16,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 17,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 18,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 20,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 21,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 23,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 24,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 27,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 3,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 30,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 33,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 8,-1000.0,0.0,Loses in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 12,0.0,1000.0,Gains in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 14,-241.97230259321725,1000.0,Direction differs across paired runs
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 15,0.0,1000.0,Gains in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 19,0.0,1000.0,Gains in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 2,0.0,1000.0,Gains in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 25,-29.320434863716514,1000.0,Direction differs across paired runs
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 26,0.0,1000.0,Gains in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 28,0.0,1000.0,Gains in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 31,0.0,1000.0,Gains in some paired runs
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 4,-129.41490682636123,1000.0,Direction differs across paired runs
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 1,-286.7466343021388,607.1002991550449,Direction differs across paired runs
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 11,-360.1712946739499,363.24033966163256,Direction differs across paired runs
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 13,-408.27172768247806,833.6500628432273,Direction differs across paired runs
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 22,-498.998694984328,488.58066278588717,Direction differs across paired runs
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 5,-317.33700389681144,723.8942190659277,Direction differs across paired runs
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 6,-211.3350872226074,550.9145987761906,Direction differs across paired runs
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 7,-488.5806627859863,4.556769917141764,Direction differs across paired runs
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 9,-186.06124240176678,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 0,-601.5467025248663,42.34779681863574,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 10,-601.5467025248663,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 16,-601.5467025248663,0.0,Loses in some paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 17,-601.5467025248663,13.626080109406757,Direction differs across paired runs
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 18,-601.5467025248663,0.0,Loses in some paired runs
