run_id,weight_type,capacity_market_cost_countrywide,redispatch_cost_countrywide,grid_shedding_countrywide_mwh,capacity_market_cost_split,redispatch_cost_split,grid_shedding_split_mwh,delta_capacity_market_cost,delta_redispatch_cost,delta_cost_excluding_grid_shedding,avoided_grid_shedding_mwh,break_even_voll_eur_per_mwh,case_study,scenario,sigma,design_order,design_label
7,ptdf_pos,91516369.77237917,-4962726.652391783,112053.79327165188,238649479.12821144,12967.753331578337,0.0,147133109.35583228,4975694.405723361,152108803.76155564,112053.79327165188,1357.4623341201707,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
8,ptdf_neg,91516369.77237934,-4711620.240393659,69789.31319826306,238649479.12821123,16670.674957243726,0.0,147133109.3558319,4728290.915350903,151861400.2711828,69789.31319826306,2175.99791876104,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
9,ptdf_pos,91516369.77238089,-6506818.441861661,94111.6525666242,238649479.12821123,12967.753331578337,0.0,147133109.35583034,6519786.1951932395,153652895.55102357,94111.6525666242,1632.666002143024,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
10,ptdf_neg,91516369.77237792,-4966831.393762497,112053.79327165188,238649479.1282021,16687.15486810403,0.0,147133109.35582417,4983518.548630601,152116627.90445477,112053.79327165188,1357.5321590022268,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
11,ptdf_pos,91516369.77232288,-2970704.682067275,40818.82961593477,238649479.12821147,15123.082004738972,0.0,147133109.3558886,2985827.764072014,150118937.1199606,40818.82961593477,3677.688423025179,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
12,ptdf_neg,76239924.39775535,-7740437.157283196,94203.67044859313,238649479.1282066,15853.415096548852,0.0,162409554.73045126,7756290.572379746,170165845.302831,94203.67044859313,1806.3610949818603,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
13,ptdf_pos,91516369.77237931,-3041879.4391216,40818.82961592899,238649479.12821165,12967.753331578802,0.0,147133109.35583234,3054847.1924531786,150187956.5482855,40818.82961592899,3679.379295325918,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
14,ptdf_neg,91516369.77237964,-4179450.274048791,71069.94998895201,238649479.12779745,12967.753331578337,0.0,147133109.35541782,4192418.027380369,151325527.3827982,71069.94998895201,2129.2476976038693,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
15,ptdf_pos,91516369.77237935,-3042040.3216456054,40818.82961592894,238649479.12819818,13533.40483992966,0.0,147133109.3558188,3055573.726485535,150188683.08230433,40818.82961592894,3679.3970943178497,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
16,ptdf_neg,91516369.77238256,-3098762.112340372,44033.77189986714,238649479.12821144,12967.753331578337,0.0,147133109.35582888,3111729.8656719504,150244839.22150084,44033.77189986714,3412.0365514713985,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
17,ptdf_pos,91516369.77196397,-2950473.338159346,40818.82961592893,238649479.12821206,118245.65340816697,0.0,147133109.35624808,3068718.991567513,150201828.3478156,40818.82961592893,3679.7191335736293,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
18,ptdf_neg,91516369.77238019,-4481303.578739186,94726.83637661186,238649479.12820503,16766.818525486626,0.0,147133109.35582483,4498070.397264672,151631179.7530895,94726.83637661186,1600.7204035637715,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
19,ptdf_pos,91516369.77237973,-3098245.597205596,44033.77189986714,238649479.12821016,12967.753331579268,0.0,147133109.35583043,3111213.3505371753,150244322.7063676,44033.77189986714,3412.0248214943613,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
20,ptdf_neg,76239924.3976425,-2981879.0994041124,40818.82961592903,238649479.1282126,14202.165507424155,0.0,162409554.7305701,2996081.2649115366,165405635.99548164,40818.82961592903,4052.189578971519,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
21,ptdf_pos,91516369.7723787,-3054109.7655331763,40818.82961592906,238649479.12821165,14503.171989378983,0.0,147133109.35583293,3068612.9375225552,150201722.2933555,40818.82961592906,3679.7165353986793,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
22,ptdf_neg,91516369.77238235,-3094897.190118133,44033.77189892408,238649479.12821144,13632.73810261162,0.0,147133109.3558291,3108529.9282207447,150241639.28404984,44033.77189892408,3411.9638814707314,Case Study 2,cs2_nl34_z3_sigma0,0.0,1,$\sigma=0$
