scenario,case_study,design,run_id,total_new_capacity_mw,largest_node_mw,active_nodes,node_hhi,largest_zone_share,largest_node_share
cs2_nl34_z3_sigma0,Case Study 2,Split,40,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,41,2400.1047541590005,1000.0,3,0.37498181629214,1.0,0.41664848097449025
cs2_nl34_z3_sigma0,Case Study 2,Split,42,2400.1047541590283,1000.0,3,0.37498181629213523,1.0,0.4166484809744855
cs2_nl34_z3_sigma0,Case Study 2,Split,43,2400.1047573649776,1000.0,3,0.3749818152903684,0.9999999986642463,0.4166484804179456
cs2_nl34_z3_sigma0,Case Study 2,Split,44,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,45,2400.1047541590283,881.8785735884716,5,0.26988993615739254,1.0,0.36743336808958266
cs2_nl34_z3_sigma0,Case Study 2,Split,46,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,47,2400.1047541590287,1000.0,4,0.36197553976263364,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,48,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,49,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,50,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,51,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,52,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,53,2400.1047541590287,884.349769463127,6,0.24324033977725368,1.0,0.3684629880969482
cs2_nl34_z3_sigma0,Case Study 2,Split,54,2400.104754467837,792.4348797154264,7,0.1977820876726767,0.9999999998568109,0.3301667888621507
cs2_nl34_z3_sigma0,Case Study 2,Split,55,2400.10475415903,1000.0,3,0.3749818162921349,1.0,0.41664848097448515
cs2_nl34_z3_sigma0,Case Study 2,Split,56,2400.1047541590283,1000.0,3,0.37498181629213523,1.0,0.4166484809744855
cs2_nl34_z3_sigma0,Case Study 2,Split,57,2400.1047541590287,914.521503348358,7,0.22829041222519553,1.0,0.3810339951885961
cs2_nl34_z3_sigma0,Case Study 2,Split,58,2400.1047541590287,914.521503348358,7,0.22829041222519553,1.0,0.3810339951885961
cs2_nl34_z3_sigma0,Case Study 2,Split,59,2400.1047541590287,914.521503348358,7,0.22829041222519553,1.0,0.3810339951885961
cs2_nl34_z3_sigma0,Case Study 2,Split,60,2400.1047541590287,914.521503348358,7,0.22829041222519553,1.0,0.3810339951885961
cs2_nl34_z3_sigma0,Case Study 2,Split,61,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,62,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,63,2400.1047541590287,914.521503348358,7,0.22829041222519553,1.0,0.3810339951885961
