run_id,line,total_overload_index,positive_overload_index,negative_overload_index,maximum_overload_mw,overloaded_run_hours,maximum_market_utilization,overload_during_shedding_index,shedding_associated_with_overload_mw,rd_volume,curtailment,scenario,case_study,design,sigma
63,22,0.0,0.0,0.0,0.0,0,0.4865596950818284,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,23,40.38315164376286,40.38315164376286,0.0,40.38315164376286,1,1.0586812228738849,40.38315164376286,670.6134955883267,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,24,0.0,0.0,0.0,0.0,0,0.7331283295098531,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,25,0.0,0.0,0.0,0.0,0,0.329947099854918,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,26,0.0,0.0,0.0,0.0,0,0.6629261310771657,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,27,0.0,0.0,0.0,0.0,0,0.8683770213134792,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,28,0.0,0.0,0.0,0.0,0,0.6624510780333832,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,29,0.0,0.0,0.0,0.0,0,0.7122536603294003,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,3,0.0,0.0,0.0,0.0,0,0.4270080590446952,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,30,0.0,0.0,0.0,0.0,0,0.2300521618394173,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,31,0.0,0.0,0.0,0.0,0,0.5384580679706807,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,32,0.0,0.0,0.0,0.0,0,0.2264527093295865,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,34,0.0,0.0,0.0,0.0,0,0.8453906111362128,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,35,0.0,0.0,0.0,0.0,0,0.7047701730231419,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,36,0.0,0.0,0.0,0.0,0,0.3523850865115711,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,37,0.0,0.0,0.0,0.0,0,0.3935422942410136,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
63,38,0.0,0.0,0.0,0.0,0,0.4299469061577824,0.0,0.0,236502.3635886857,77398.05268664965,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5
