scenario,case_study,design,sigma,line,bus,ptdf,ptdf_side,capacity_min_mw,capacity_max_mw,rho_investment_total_overload,rho_investment_maximum_overload,rho_investment_redispatch,rho_investment_grid_shedding,runs
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 31,0.8071192197782027,positive,0.0,1000.0,-0.10574167931610133,-0.10574167931610133,0.2725186128063202,-0.3985321590830817,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 4,0.8311498499314555,positive,0.0,1000.0,0.11008676889306032,0.11189194225127186,0.24170316969276548,0.6405358246833099,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 5,0.196162519321621,positive,0.0,1000.0,-0.17731079574270292,-0.17866364938072013,-0.17650131289634946,-0.06935210299782225,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 6,0.2916914495222212,positive,0.0,1000.0,0.051616821498694516,0.05416789999121648,0.07613223066437252,0.07668350138645248,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 7,0.1126525218778523,positive,0.0,1000.0,-0.39116754773634094,-0.39292838703509714,-0.01000636847984932,-0.27689690709256437,80
nl34_z3_sigma0,Case Study 1,Split,0.0,26,NL0 9,0.4137255672146021,positive,0.0,1000.0,-0.04748560081851092,-0.044742633730795366,0.05149692771992331,0.008491753682780344,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 1,-0.5863925659267387,negative,0.0,1000.0,-0.25591909894601766,-0.2506216419296234,0.07415566026121033,0.23830991875732457,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 11,-0.6884856692823967,negative,0.0,1000.0,-0.24625212743751723,-0.24170934227698015,0.055056257749852476,0.2334933280615588,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 12,-0.8096498326560541,negative,0.0,1000.0,0.5616739381892378,0.5438305128267168,0.46688627246139447,-0.33504098191805465,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 13,-0.4951241241528989,negative,0.0,1000.0,-0.4384731977248722,-0.43929176138708964,-0.09613505812142965,0.319474727320596,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 14,-0.8179529300422536,negative,0.0,1000.0,-0.10868101782058971,-0.09808157160002101,0.4862027917866107,0.8303543871697312,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 15,-0.7998951750421595,negative,0.0,1000.0,0.03366868074070781,0.032420868964380845,-0.5632949059032081,-0.6316366135406916,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 16,-0.0508547496430146,negative,0.0,1000.0,-0.2784736398267208,-0.26552466481825454,-0.19422477563559773,0.10486344731591826,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 19,-0.8065074028788094,negative,0.0,1000.0,0.1222030056019562,0.11594778316975747,-0.48775458633751256,-0.67563440011026,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 2,-0.8057461026636855,negative,0.0,1000.0,-0.12931821109923994,-0.12430978089559366,-0.6620822479660573,-0.5879946459124734,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 20,0.1267482612448462,positive,0.0,1000.0,0.43262690361663697,0.4381621548322551,0.22465813020434486,-0.06789334678740133,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 22,-0.1126525218778524,negative,0.0,1000.0,0.3503813282376267,0.3445581191819381,-0.022990079809931296,-0.31265814072530335,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 25,-0.8068810333166494,negative,0.0,1000.0,0.540015607733108,0.5151924719392562,0.38232350418269895,-0.2494250321017804,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 26,-0.8229199299696678,negative,0.0,1000.0,-0.1457874430050896,-0.14289891206151917,0.39399852951575065,0.775044323165657,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 28,-0.8157848338519306,negative,0.0,1000.0,0.6068516272352554,0.5884935030884962,0.5970672317069737,-0.15329337413943997,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 31,-0.8071192197782028,negative,0.0,1000.0,0.48037461019241756,0.4646351272663892,0.2725186128063202,-0.3985321590830817,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 4,-0.8311498499314557,negative,0.0,1000.0,-0.19500155421399776,-0.18891271411081675,0.24170316969276548,0.6405358246833099,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 5,-0.1961625193216211,negative,0.0,1000.0,-0.007076437161506877,-0.015645787774364706,-0.17650131289634946,-0.06935210299782225,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 6,-0.2916914495222213,negative,0.0,1000.0,0.054339786746651755,0.05643699608642066,0.07613223066437252,0.07668350138645248,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 7,-0.1126525218778524,negative,0.0,1000.0,0.3055175222957653,0.30303353732861005,-0.01000636847984932,-0.27689690709256437,80
nl34_z3_sigma0,Case Study 1,Split,0.0,27,NL0 9,-0.4137255672146022,negative,0.0,1000.0,-0.0026363879468680987,0.020899520351090713,0.05149692771992331,0.008491753682780344,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,NL0 11,0.0518945787034868,positive,0.0,1000.0,0.25023540360265506,0.24893226675430113,0.055056257749852476,0.2334933280615588,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,NL0 12,0.3496049747419685,positive,0.0,1000.0,-0.12133370966240876,-0.13771071919162453,0.46688627246139447,-0.33504098191805465,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,NL0 14,0.5958661306973949,positive,0.0,1000.0,0.7957260508135349,0.8093358853561359,0.4862027917866107,0.8303543871697312,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,NL0 15,0.0602920655691069,positive,0.0,1000.0,-0.7683670681183642,-0.7684631065875193,-0.5632949059032081,-0.6316366135406916,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,NL0 19,0.2564038049304292,positive,0.0,1000.0,-0.7236668827489532,-0.7237573341262717,-0.48775458633751256,-0.67563440011026,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,NL0 2,0.2338244393894308,positive,0.0,1000.0,-0.6297966065835501,-0.6298753250821494,-0.6620822479660573,-0.5879946459124734,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,NL0 25,0.2674852916627747,positive,0.0,1000.0,-0.2658760734348386,-0.26505639622349525,0.38232350418269895,-0.2494250321017804,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,NL0 26,0.7431821366241216,positive,0.0,1000.0,0.7095870751254574,0.7234583876089786,0.39399852951575065,0.775044323165657,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,NL0 28,0.5315626726964165,positive,0.0,1000.0,0.0275343841577931,0.00933187187708661,0.5970672317069737,-0.15329337413943997,80
nl34_z3_sigma0,Case Study 1,Split,0.0,34,NL0 31,0.2745496521811298,positive,0.0,1000.0,-0.24932783367041264,-0.26692265337615373,0.2725186128063202,-0.3985321590830817,80
nl34_z3_sigma25,Case Study 1,Split,0.25,11,NL0 11,0.051894578703487,positive,0.0,1000.0,0.12127950043561624,0.11231934286110667,0.30902464893565873,0.2217383744455895,80
nl34_z3_sigma25,Case Study 1,Split,0.25,11,NL0 12,0.3496049747419688,positive,0.0,1000.0,0.3134388429446996,0.3243774439210936,0.10890456110034429,-0.013432574445247451,80
nl34_z3_sigma25,Case Study 1,Split,0.25,11,NL0 14,0.5958661306973952,positive,0.0,1000.0,0.600322330179406,0.5902251441743147,0.7442672976838531,0.8272080434603806,80
nl34_z3_sigma25,Case Study 1,Split,0.25,11,NL0 15,0.0602920655691071,positive,0.0,1000.0,-0.8871943183262206,-0.8880367510621944,-0.8229658387249887,-0.868568582857538,80
nl34_z3_sigma25,Case Study 1,Split,0.25,11,NL0 19,0.2564038049304295,positive,0.0,1000.0,-0.6893739249016924,-0.6839067509573973,-0.7323319779566079,-0.7736097907119199,80
