scenario,case_study,sigma,zone,bus,new_capacity_min_mw,new_capacity_max_mw,material_investment_runs,runs
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 6,0.0,22.761097722291773,1,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 7,0.0,22.76129772651125,15,80
cs2_nl34_z3_sigma50,Case Study 2,0.5,3,NL0 9,0.0,22.76109772235052,2,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 0,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 10,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 16,0.0,9.09443144792022e-07,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 17,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 18,0.0,9.09443144792022e-07,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 20,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 21,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 23,0.0,9.09443144792022e-07,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 24,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 27,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 3,0.0,9.094429174183464e-07,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 30,0.0,9.09443144792022e-07,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 33,0.0,1.453746277970756e-06,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,1,NL0 8,0.0,9.094430311051842e-07,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 12,0.0,502.4607752133602,16,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 14,0.0,502.46077521325833,13,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 15,-1.1579439245903921e-07,502.4607752723706,38,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 19,0.0,502.46077521334126,14,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 2,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 25,0.0,502.460775213116,12,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 26,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 28,0.0,502.46077521302686,1,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 31,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,2,NL0 4,0.0,502.46077532928473,36,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 1,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 11,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 13,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 22,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 5,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 6,0.0,0.0,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 7,0.0,4.8262168878206525e-06,0,80
cs2_nl34_z3_sigma75,Case Study 2,0.75,3,NL0 9,0.0,0.0,0,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 0,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 10,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 16,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 17,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 18,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 20,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 21,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 23,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 24,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 27,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 3,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 30,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 33,0.0,1000.0,44,80
nl34_z3_sigma0,Case Study 1,0.0,1,NL0 8,0.0,1000.0,45,80
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 12,0.0,1000.0,19,80
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 14,0.0,1000.0,36,80
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 15,0.0,1000.0,42,80
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 19,0.0,1000.0,38,80
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 2,0.0,1000.0,31,80
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 25,0.0,1000.0,14,80
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 26,0.0,1000.0,40,80
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 28,0.0,1000.0,19,80
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 31,0.0,1000.0,18,80
nl34_z3_sigma0,Case Study 1,0.0,2,NL0 4,0.0,1000.0,42,80
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 1,0.0,1000.0,48,80
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 11,0.0,1000.0,48,80
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 13,0.0,1000.0,75,80
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 22,0.0,1000.0,50,80
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 5,0.0,1000.0,71,80
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 6,0.0,1000.0,75,80
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 7,0.0,1000.0,48,80
nl34_z3_sigma0,Case Study 1,0.0,3,NL0 9,0.0,1000.0,76,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 0,0.0,1000.0,13,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 10,0.0,1000.0,14,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 16,0.0,1000.0,37,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 17,0.0,1000.0,14,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 18,0.0,1000.0,15,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 20,0.0,1000.0,34,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 21,0.0,1000.0,15,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 23,0.0,846.8593896513892,13,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 24,0.0,1000.0,36,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 27,0.0,1000.0,14,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 3,0.0,1000.0,13,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 30,0.0,1000.0,13,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 33,0.0,1000.0,12,80
nl34_z3_sigma100,Case Study 1,1.0,1,NL0 8,0.0,1000.0,36,80
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 12,0.0,1000.0,73,80
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 14,0.0,1000.0,69,80
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 15,0.0,1000.0,50,80
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 19,0.0,1000.0,76,80
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 2,0.0,1000.0,52,80
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 25,0.0,1000.0,78,80
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 26,0.0,1000.0,53,80
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 28,0.0,1000.0,75,80
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 31,0.0,1000.0,75,80
nl34_z3_sigma100,Case Study 1,1.0,2,NL0 4,0.0,1000.0,52,80
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 1,0.0,1000.0,48,80
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 11,0.0,1000.0,49,80
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 13,0.0,1000.0,76,80
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 22,0.0,1000.0,50,80
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 5,0.0,1000.0,77,80
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 6,0.0,1000.0,76,80
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 7,0.0,1000.0,48,80
nl34_z3_sigma100,Case Study 1,1.0,3,NL0 9,0.0,1000.0,76,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 0,0.0,1000.0,43,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 10,0.0,1000.0,43,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 16,0.0,1000.0,43,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 17,0.0,1000.0,43,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 18,0.0,1000.0,21,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 20,0.0,1000.0,43,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 21,0.0,1000.0,22,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 23,0.0,1000.0,43,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 24,0.0,1000.0,44,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 27,0.0,1000.0,42,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 3,0.0,1000.0,43,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 30,0.0,1000.0,43,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 33,0.0,1000.0,43,80
nl34_z3_sigma25,Case Study 1,0.25,1,NL0 8,0.0,1000.0,43,80
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 12,0.0,1000.0,21,80
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 14,0.0,1000.0,38,80
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 15,0.0,1000.0,44,80
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 19,0.0,1000.0,42,80
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 2,0.0,1000.0,42,80
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 25,0.0,1000.0,41,80
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 26,0.0,1000.0,42,80
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 28,0.0,1000.0,44,80
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 31,0.0,1000.0,20,80
nl34_z3_sigma25,Case Study 1,0.25,2,NL0 4,0.0,1000.0,44,80
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 1,0.0,1000.0,47,80
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 11,0.0,1000.0,49,80
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 13,0.0,1000.0,75,80
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 22,0.0,1000.0,50,80
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 5,0.0,1000.0,76,80
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 6,0.0,1000.0,76,80
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 7,0.0,1000.0,47,80
nl34_z3_sigma25,Case Study 1,0.25,3,NL0 9,0.0,1000.0,76,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 0,0.0,1000.0,41,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 10,0.0,1000.0,41,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 16,0.0,1000.0,41,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 17,0.0,1000.0,20,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 18,0.0,1000.0,20,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 20,0.0,1000.0,42,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 21,0.0,1000.0,19,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 23,0.0,1000.0,41,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 24,0.0,1000.0,42,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 27,0.0,1000.0,41,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 3,0.0,1000.0,40,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 30,0.0,1000.0,20,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 33,0.0,1000.0,40,80
nl34_z3_sigma50,Case Study 1,0.5,1,NL0 8,0.0,1000.0,41,80
nl34_z3_sigma50,Case Study 1,0.5,2,NL0 12,0.0,1000.0,45,80
nl34_z3_sigma50,Case Study 1,0.5,2,NL0 14,0.0,1000.0,45,80
nl34_z3_sigma50,Case Study 1,0.5,2,NL0 15,0.0,1000.0,45,80
nl34_z3_sigma50,Case Study 1,0.5,2,NL0 19,0.0,1000.0,45,80
nl34_z3_sigma50,Case Study 1,0.5,2,NL0 2,0.0,1000.0,44,80
nl34_z3_sigma50,Case Study 1,0.5,2,NL0 25,0.0,1000.0,45,80
nl34_z3_sigma50,Case Study 1,0.5,2,NL0 26,0.0,1000.0,45,80
nl34_z3_sigma50,Case Study 1,0.5,2,NL0 28,0.0,1000.0,45,80
nl34_z3_sigma50,Case Study 1,0.5,2,NL0 31,0.0,1000.0,45,80
nl34_z3_sigma50,Case Study 1,0.5,2,NL0 4,0.0,1000.0,45,80
nl34_z3_sigma50,Case Study 1,0.5,3,NL0 1,0.0,1000.0,48,80
nl34_z3_sigma50,Case Study 1,0.5,3,NL0 11,0.0,1000.0,48,80
nl34_z3_sigma50,Case Study 1,0.5,3,NL0 13,0.0,1000.0,76,80
nl34_z3_sigma50,Case Study 1,0.5,3,NL0 22,0.0,1000.0,50,80
nl34_z3_sigma50,Case Study 1,0.5,3,NL0 5,0.0,1000.0,76,80
nl34_z3_sigma50,Case Study 1,0.5,3,NL0 6,0.0,1000.0,76,80
nl34_z3_sigma50,Case Study 1,0.5,3,NL0 7,0.0,1000.0,47,80
nl34_z3_sigma50,Case Study 1,0.5,3,NL0 9,0.0,1000.0,76,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 0,0.0,1000.0,19,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 10,0.0,1000.0,39,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 16,0.0,1000.0,39,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 17,0.0,1000.0,18,80
