run_id,zone,d_c_z,net_import,req_z,c_dem,lambda_c_z,nu_c,rho
49,2,2560.309318529239,-2338.890358961534,4899.199677490773,4899.199677490804,5975.333557227372,5975.333557227372,0.0
49,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.76109772229,11368.885316584188,11368.885316584188,0.0
50,1,7227.746702524866,-38.45329747515825,7266.200000000024,7266.2,5975.333557227139,5975.333557227154,0.0
50,2,2560.309318529239,-2338.89035896158,4899.199677490819,4899.199677490764,5975.333557227139,5975.333557227058,0.0
50,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584252,11368.885316583806,0.0
51,1,7227.746702524866,-38.45329747519418,7266.20000000006,7266.2,5975.333557227154,5975.333557139322,0.0
51,2,2560.309318529239,-2338.8903589615443,4899.199677490784,4899.1996774908675,5975.333557227238,5975.333557227154,0.0
51,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584256,11368.885316584256,0.0
52,1,7227.746702524866,-38.4532974751728,7266.200000000039,7266.2,5975.33355722714,5975.333557226292,0.0
52,2,2560.309318529239,-2338.8903589615657,4899.199677490805,4899.199677490665,5975.333557225256,5975.33355722714,0.0
52,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584261,11368.885316584261,0.0
53,1,7227.746702524866,-38.453297475133695,7266.2,7266.2,5975.333557227263,5975.333557227263,0.0
53,2,2560.309318529239,-2338.8903589616048,4899.199677490844,4899.199677490844,5975.333557227263,5975.333557227263,0.0
53,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.76109772229,11368.88531658442,11368.885316584936,0.0
54,1,7227.746702524866,-38.4532977612439,7266.2000002861105,7266.200000285955,5975.333557221029,5975.333557221029,0.0
54,2,2560.309318529239,-2338.8903586754946,4899.199677204733,4899.199677204573,5975.3335572211545,5975.3335572211545,0.0
54,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316577716,11368.885316577716,0.0
55,1,7227.746702524866,-38.453297475133695,7266.2,7266.2,5975.333557227107,5975.333557227107,0.0
55,2,2560.309318529239,-2338.8903589616048,4899.199677490844,4899.199677490844,5975.333557227107,5975.333557227107,0.0
55,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316584256,11368.885316584256,0.0
56,1,7227.746702524866,-38.45329747494907,7266.199999999815,7266.2,5975.333557227119,5975.333557227119,0.0
56,2,2560.309318529239,-2338.8903589617894,4899.1996774910285,4899.199677491046,5975.333557227119,5975.333557227119,0.0
56,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.88531658433,11368.88531658433,0.0
57,1,7227.746702524866,-38.453297475133695,7266.2,7266.2,5975.333557227263,5975.333557227263,0.0
57,2,2560.309318529239,-2338.8903589616048,4899.199677490844,4899.199677490844,5975.333557227263,5975.333557227263,0.0
57,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.76109772229,11368.88531658442,11368.885316584936,0.0
58,1,7227.746702524866,-38.453297475133695,7266.2,7266.2,5975.333557227263,5975.333557227263,0.0
58,2,2560.309318529239,-2338.8903589616048,4899.199677490844,4899.199677490844,5975.333557227263,5975.333557227263,0.0
58,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.76109772229,11368.88531658442,11368.885316584936,0.0
59,1,7227.746702524866,-38.453297475133695,7266.2,7266.2,5975.333557227263,5975.333557227263,0.0
