Line,NL0 0,NL0 1,NL0 10,NL0 11,NL0 12,NL0 13,NL0 14,NL0 15,NL0 16,NL0 17,NL0 18,NL0 19,NL0 2,NL0 20,NL0 21,NL0 22,NL0 23,NL0 24,NL0 25,NL0 26,NL0 27,NL0 28,NL0 29,NL0 3,NL0 30,NL0 31,NL0 32,NL0 33,NL0 4,NL0 5,NL0 6,NL0 7,NL0 8,NL0 9
18,0.0,0.003107876933342452,-0.028022299664347293,-0.001821416099825185,-0.007671504369810688,0.007514530070495054,-0.00807239726809908,-0.00720052675979919,0.028964891168759766,-0.05075578928901351,-0.2166398059015821,-0.0075197805344187196,-0.007483023185261785,-0.010742352667352451,-0.08592388949870275,0.025981150660047112,-0.3938022908737933,-0.01554434304438359,-0.007537820282978494,-0.008312215603845562,-0.04080106494626849,-0.007967716529685573,-0.39380229087379326,-0.572867028841065,-0.27406155538906135,-0.007549320480611243,-0.3938022908737933,-0.3938022908737933,-0.008709575325489494,0.021949093301917987,0.017336733851315757,0.025981150660047064,-0.8542564773515101,0.011444642158753064
19,0.0,-0.02451111458837724,0.22100546863157147,0.014365092213579577,0.06050340045846571,-0.059265380060468165,0.06366515106132652,0.05678890776292146,-0.22843947225212374,0.40029930205390973,-0.30847072422070415,0.05930678926862662,0.05901689246239062,0.0847224786648902,-0.3223379346888984,-0.2049073932542662,-0.2896761540276912,0.12259467853256643,0.05944906463974903,0.0655565434278684,0.3217886678511932,0.06283955801839682,-0.2896761540276912,-0.2706797802336157,-0.30237904458820564,0.059539764068333605,-0.2896761540276912,-0.2896761540276912,0.06869042867458713,-0.1731074790196587,-0.13673085489931433,-0.20490739325426624,-0.240828123194416,-0.0902612752669264
2,0.0,0.5863925659267376,-0.015441453450728358,-0.3115143307176044,-0.19035016734394763,0.4951241241528979,-0.18204706995774803,-0.2001048249578418,0.05085474964301452,0.006148576823631561,0.04121762426109211,-0.19349259712119188,-0.19425389733631568,-0.12674826124484714,0.03954777601191114,0.11265252187785216,0.04348081051638796,-0.027291788161104863,-0.1931189666833522,-0.17708007003033369,-0.003305440288619333,-0.18421516614807112,0.04348081051638796,0.04576829736124254,0.041951166208279676,-0.19288078022179853,0.04348081051638797,0.04348081051638797,-0.16885015006854545,0.19616251932162074,0.2916914495222207,0.11265252187785213,0.049362945135312794,0.41372556721460146
20,0.0,0.024511114588377264,-0.22100546863157147,-0.014365092213579555,-0.06050340045846568,0.05926538006046819,-0.0636651510613265,-0.05678890776292144,0.2284394722521238,0.5997006979460903,0.3084707242207042,-0.05930678926862661,-0.0590168924623906,-0.08472247866489017,0.32233793468889843,0.20490739325426627,0.28967615402769126,-0.12259467853256643,-0.05944906463974901,-0.06555654342786837,-0.3217886678511932,-0.06283955801839679,0.2896761540276913,0.27067978023361583,0.30237904458820575,-0.059539764068333584,0.2896761540276913,0.2896761540276913,-0.0686904286745871,0.1731074790196587,0.13673085489931436,0.20490739325426627,0.24082812319441604,0.09026127526692643
21,0.0,0.003107876933342718,-0.02802229966434715,-0.0018214160998249694,-0.007671504369810534,0.007514530070495366,-0.008072397268098929,-0.007200526759799029,0.028964891168760262,-0.05075578928901328,0.7833601940984183,-0.007519780534418562,-0.007483023185261627,-0.010742352667352321,-0.08592388949870242,0.025981150660047563,0.6061977091262075,-0.015544343044383499,-0.007537820282978335,-0.008312215603845412,-0.0408010649462683,-0.00796771652968542,0.6061977091262075,0.42713297115893584,0.725938444610939,-0.0075493204806110865,0.6061977091262076,0.6061977091262076,-0.008709575325489348,0.0219490933019184,0.017336733851316146,0.025981150660047567,0.1457435226484907,0.011444642158753415
22,0.0,-0.003107876933342863,0.02802229966434707,0.001821416099824845,0.007671504369810431,-0.007514530070495529,0.008072397268098828,0.0072005267597989265,-0.028964891168760498,0.05075578928901313,0.21663980590158147,0.007519780534418461,0.007483023185261525,0.010742352667352236,0.08592388949870211,-0.02598115066004778,-0.6061977091262079,0.015544343044383445,0.007537820282978233,0.008312215603845314,0.04080106494626819,0.00796771652968532,-0.6061977091262079,-0.4271329711589361,-0.7259384446109393,0.007549320480610985,-0.6061977091262079,-0.6061977091262079,0.00870957532548925,-0.021949093301918614,-0.017336733851316347,-0.02598115066004779,-0.14574352264849094,-0.011444642158753595
23,0.0,-0.00816412867815372,0.00021498569435345725,-0.009585533520881165,0.12013554155718291,-0.006893431629464836,0.07464823586405302,-0.0111366472181613,-0.0007080320319625868,-8.560438056766714e-05,-0.0005738578689917936,0.46850148395248953,-0.1992675371058035,0.001764669565515011,-0.0005506091841150377,-0.0015684197549056568,-0.000605367381363703,0.0003799735592691808,0.08287474123491864,0.04743725259272928,4.602043310626086e-05,0.08652583401739423,-0.0006053673813637029,-0.0006372152219335471,-0.0005840707045488033,0.20150493859427257,-0.000605367381363703,-0.000605367381363703,0.0023508387257716178,-0.002731098828037692,-0.004061113094865051,-0.0015684197549056566,-0.0006872621848137261,-0.005760149368271742
24,0.0,0.008164128678153313,-0.00021498569435355843,0.009585533520880695,-0.12013554155718362,0.006893431629464488,-0.07464823586405364,0.011136647218160762,0.0007080320319625187,8.560438056757678e-05,0.0005738578689917209,0.5314985160475095,0.19926753710580267,-0.0017646695655153784,0.0005506091841149641,0.001568419754905549,0.0006053673813636313,-0.00037997355926928787,-0.0828747412349193,-0.04743725259272985,-4.6020433106355965e-05,-0.08652583401739489,0.0006053673813636314,0.0006372152219334766,0.0005840707045487309,-0.20150493859427343,0.0006053673813636314,0.0006053673813636314,-0.0023508387257720957,0.002731098828037531,0.0040611130948648285,0.0015684197549055492,0.0006872621848136574,0.005760149368271444
25,0.0,0.01018537322564286,-0.00026821105123243694,0.011958684181244952,-0.14987825114748032,0.008600081737985163,-0.09312936785841593,0.01389381682613827,0.000883323963345461,0.00010679799403019872,0.0007159314612217845,-0.028611404068045333,0.24860145120058044,-0.00220155987898642,0.0006869269535994623,0.0019567232717598386,0.0007552419812194309,-0.00047404599677480563,-0.10339256076585218,-0.059181590773912544,-5.741400040003775e-05,-0.10794757749047532,0.000755241981219431,0.000794974591449186,0.0007286727525390826,-0.25139278020996464,0.000755241981219431,0.000755241981219431,-0.002932850615075854,0.0034072540960942256,0.005066548337660486,0.0019567232717598386,0.0008574119948561857,0.0071862256787170575
26,0.0,0.5863925659267386,-0.01544145345072815,0.6884856692823966,0.8096498326560537,0.4951241241528987,0.8179529300422532,0.7998951750421592,0.05085474964301465,0.006148576823631748,0.04121762426109226,0.8065074028788093,0.8057461026636854,0.8732517387551535,0.0395477760119113,0.11265252187785234,0.04348081051638811,-0.02729178816110465,0.8068810333166492,0.8229199299696675,-0.003305440288619138,0.8157848338519302,0.043480810516388115,0.04576829736124269,0.04195116620827983,0.8071192197782027,0.043480810516388115,0.043480810516388115,0.8311498499314555,0.19616251932162107,0.2916914495222212,0.11265252187785235,0.04936294513531295,0.41372556721460213
